,Name,atomic_radius_A,atomic_radius_B,atomic_radius_C,atomic_volume_A,atomic_volume_B,atomic_volume_C,density_A,density_B,density_C,dipole_polarizability_A,dipole_polarizability_B,dipole_polarizability_C,evaporation_heat_A,evaporation_heat_B,evaporation_heat_C,group_id_A,group_id_B,group_id_C,lattice_constant_A,lattice_constant_B,lattice_constant_C,period_A,period_B,period_C,series_id_A,series_id_B,series_id_C,specific_heat_capacity_A,specific_heat_capacity_B,specific_heat_capacity_C,vdw_radius_A,vdw_radius_B,vdw_radius_C,covalent_radius_cordero_A,covalent_radius_cordero_B,covalent_radius_cordero_C,covalent_radius_pyykko_A,covalent_radius_pyykko_B,covalent_radius_pyykko_C,electron_affinity_A,electron_affinity_B,electron_affinity_C,NumberofNeutrons_A,NumberofNeutrons_B,NumberofNeutrons_C,NumberofProtons_A,NumberofProtons_B,NumberofProtons_C,NumberofElectrons_A,NumberofElectrons_B,NumberofElectrons_C,heat_of_formation_A,heat_of_formation_B,heat_of_formation_C,vdw_radius_uff_A,vdw_radius_uff_B,vdw_radius_uff_C,vdw_radius_mm3_A,vdw_radius_mm3_B,vdw_radius_mm3_C,en_ghosh_A,en_ghosh_B,en_ghosh_C,c6_gb_A,c6_gb_B,c6_gb_C,atomic_weight_A,atomic_weight_B,atomic_weight_C,atomic_radius_rahm_A,atomic_radius_rahm_B,atomic_radius_rahm_C,covalent_radius_pyykko_double_A,covalent_radius_pyykko_double_B,covalent_radius_pyykko_double_C,dipole_polarizability_unc_A,dipole_polarizability_unc_B,dipole_polarizability_unc_C,pettifor_number_A,pettifor_number_B,pettifor_number_C,glawe_number_A,glawe_number_B,glawe_number_C,molar_heat_capacity_A,molar_heat_capacity_B,molar_heat_capacity_C,electronegativity_A,electronegativity_B,electronegativity_C,melting_point_A,melting_point_B,melting_point_C,boiling_point_A,boiling_point_B,boiling_point_C,FirstIonization_A,FirstIonization_B,FirstIonization_C,NumberofShells_A,NumberofShells_B,NumberofShells_C,FormEng,Moment
0,V2ScAl,135.0,160.0,125.0,8.35,15.0,10.0,6.0,2.99,2.7,87.0,97.0,57.8,460.0,332.7,284.1,5.0,3.0,13.0,3.02,3.31,4.05,4.0,4.0,3.0,8.0,8.0,7.0,0.489,0.568,0.897,206.999999999999,215.0,184.0,153.0,170.0,121.0,134.0,148.0,126.0,0.527662,0.1882,0.432835,28.0,24.0,14.0,23.0,21.0,13.0,23.0,21.0,13.0,515.5,377.8,330.9,314.4,329.5,449.9,229.0,261.0,236.0,0.1273344,0.1193833,0.150078,955.0,1570.0,520.0,50.9415,44.955908,26.9815385,252.0,263.0,239.0,112.0,116.0,113.0,10.0,10.0,1.0,54.0,20.0,80.0,54.0,48.0,78.0,24.89,25.52,24.2,1.63,1.36,1.61,2183.0,1814.0,933.47,3680.0,3109.0,2792.0,6.7462,6.5615,5.9858,4.0,4.0,3.0,0.046,0.0002
1,V2ScGa,135.0,160.0,130.0,8.35,15.0,11.8,6.0,2.99,5.91,87.0,97.0,50.0,460.0,332.7,270.3,5.0,3.0,13.0,3.02,3.31,4.51,4.0,4.0,4.0,8.0,8.0,7.0,0.489,0.568,0.373,206.999999999999,215.0,187.0,153.0,170.0,122.0,134.0,148.0,124.0,0.527662,0.1882,0.3012011,28.0,24.0,39.0,23.0,21.0,31.0,23.0,21.0,31.0,515.5,377.8,271.96,314.4,329.5,438.3,229.0,261.0,246.0,0.1273344,0.1193833,0.172377299999999,955.0,1570.0,456.0,50.9415,44.955908,69.723,252.0,263.0,233.0,112.0,116.0,117.0,10.0,10.0,3.0,54.0,20.0,81.0,54.0,48.0,79.0,24.89,25.52,26.03,1.63,1.36,1.81,2183.0,1814.0,302.9146,3680.0,3109.0,2673.0,6.7462,6.5615,5.9993,4.0,4.0,4.0,-0.014,0.1775
2,V2ScIn,135.0,160.0,155.0,8.35,15.0,15.7,6.0,2.99,7.31,87.0,97.0,65.0,460.0,332.7,225.1,5.0,3.0,13.0,3.02,3.31,4.59,4.0,4.0,5.0,8.0,8.0,7.0,0.489,0.568,0.233,206.999999999999,215.0,193.0,153.0,170.0,142.0,134.0,148.0,142.0,0.527662,0.1882,0.383926,28.0,24.0,66.0,23.0,21.0,49.0,23.0,21.0,49.0,515.5,377.8,243.0,314.4,329.5,446.3,229.0,261.0,264.0,0.1273344,0.1193833,0.16423,955.0,1570.0,643.0,50.9415,44.955908,114.818,252.0,263.0,246.0,112.0,116.0,136.0,10.0,10.0,4.0,54.0,20.0,79.0,54.0,48.0,80.0,24.89,25.52,26.74,1.63,1.36,1.78,2183.0,1814.0,429.75,3680.0,3109.0,2345.0,6.7462,6.5615,5.7864,4.0,4.0,5.0,0.191,0.1624
3,V2ScSi,135.0,160.0,110.0,8.35,15.0,12.1,6.0,2.99,2.3296,87.0,97.0,37.3,460.0,332.7,383.0,5.0,3.0,14.0,3.02,3.31,5.43,4.0,4.0,3.0,8.0,8.0,5.0,0.489,0.568,0.712,206.999999999999,215.0,210.0,153.0,170.0,111.0,134.0,148.0,115.999999999999,0.527662,0.1882,1.38952128,28.0,24.0,14.0,23.0,21.0,14.0,23.0,21.0,14.0,515.5,377.8,450.0,314.4,329.5,429.5,229.0,261.0,229.0,0.1273344,0.1193833,0.178503,955.0,1570.0,308.0,50.9415,44.955908,28.085,252.0,263.0,231.999999999999,112.0,116.0,107.0,10.0,10.0,0.7,54.0,20.0,85.0,54.0,48.0,85.0,24.89,25.52,19.99,1.63,1.36,1.9,2183.0,1814.0,1687.0,3680.0,3109.0,3538.0,6.7462,6.5615,8.1517,4.0,4.0,3.0,-0.122,0.6638
4,V2ScGe,135.0,160.0,125.0,8.35,15.0,13.6,6.0,2.99,5.3234,87.0,97.0,40.0,460.0,332.7,328.0,5.0,3.0,14.0,3.02,3.31,5.66,4.0,4.0,4.0,8.0,8.0,5.0,0.489,0.568,0.32,206.999999999999,215.0,211.0,153.0,170.0,120.0,134.0,148.0,121.0,0.527662,0.1882,1.232676413,28.0,24.0,41.0,23.0,21.0,32.0,23.0,21.0,32.0,515.5,377.8,372.0,314.4,329.5,428.0,229.0,261.0,244.0,0.1273344,0.1193833,0.1895892,955.0,1570.0,365.0,50.9415,44.955908,72.63,252.0,263.0,234.0,112.0,116.0,111.0,10.0,10.0,1.0,54.0,20.0,84.0,54.0,48.0,84.0,24.89,25.52,23.222,1.63,1.36,2.01,2183.0,1814.0,1211.4,3680.0,3109.0,3106.0,6.7462,6.5615,7.8994,4.0,4.0,4.0,-0.087,0.7492
5,V2ScSn,135.0,160.0,145.0,8.35,15.0,16.3,6.0,2.99,7.287,87.0,97.0,53.0,460.0,332.7,296.0,5.0,3.0,14.0,3.02,3.31,5.82,4.0,4.0,5.0,8.0,8.0,7.0,0.489,0.568,0.227,206.999999999999,215.0,217.0,153.0,170.0,139.0,134.0,148.0,140.0,0.527662,0.1882,1.1120702,28.0,24.0,69.0,23.0,21.0,50.0,23.0,21.0,50.0,515.5,377.8,301.2,314.4,329.5,439.199999999999,229.0,261.0,259.0,0.1273344,0.1193833,0.178052,955.0,1570.0,715.0,50.9415,44.955908,118.71,252.0,263.0,248.0,112.0,116.0,130.0,10.0,10.0,6.0,54.0,20.0,83.0,54.0,48.0,83.0,24.89,25.52,26.99,1.63,1.36,1.96,2183.0,1814.0,505.08,3680.0,3109.0,2875.0,6.7462,6.5615,7.3439,4.0,4.0,5.0,0.032,1.0025
6,V2ScP,135.0,160.0,100.0,8.35,15.0,17.0,6.0,2.99,1.823,87.0,97.0,25.0,460.0,332.7,49.8,5.0,3.0,15.0,3.02,3.31,7.17,4.0,4.0,3.0,8.0,8.0,1.0,0.489,0.568,0.769,206.999999999999,215.0,180.0,153.0,170.0,107.0,134.0,148.0,111.0,0.527662,0.1882,0.7466071,28.0,24.0,16.0,23.0,21.0,15.0,23.0,21.0,15.0,515.5,377.8,316.5,314.4,329.5,414.7,229.0,261.0,222.0,0.1273344,0.1193833,0.206931,955.0,1570.0,187.0,50.9415,44.955908,30.973761998,252.0,263.0,223.0,112.0,116.0,102.0,10.0,10.0,1.0,54.0,20.0,90.0,54.0,48.0,89.0,24.89,25.52,23.824,1.63,1.36,2.19,2183.0,1814.0,317.3,3680.0,3109.0,550.0,6.7462,6.5615,10.4867,4.0,4.0,3.0,-0.322,0.0001
7,V2ScAs,135.0,160.0,115.0,8.35,15.0,13.1,6.0,2.99,5.75,87.0,97.0,30.0,460.0,332.7,32.4,5.0,3.0,15.0,3.02,3.31,4.13,4.0,4.0,4.0,8.0,8.0,5.0,0.489,0.568,0.329,206.999999999999,215.0,185.0,153.0,170.0,119.0,134.0,148.0,121.0,0.527662,0.1882,0.80482,28.0,24.0,42.0,23.0,21.0,33.0,23.0,21.0,33.0,515.5,377.8,302.5,314.4,329.5,423.0,229.0,261.0,236.0,0.1273344,0.1193833,0.2068208,955.0,1570.0,260.0,50.9415,44.955908,74.921595,252.0,263.0,231.0,112.0,116.0,114.0,10.0,10.0,1.0,54.0,20.0,89.0,54.0,48.0,90.0,24.89,25.52,24.64,1.63,1.36,2.18,2183.0,1814.0,1090.0,3680.0,3109.0,887.0,6.7462,6.5615,9.7886,4.0,4.0,4.0,-0.162,0.0002
8,V2ScSb,135.0,160.0,145.0,8.35,15.0,18.4,6.0,2.99,6.68,87.0,97.0,43.0,460.0,332.7,195.2,5.0,3.0,15.0,3.02,3.31,4.51,4.0,4.0,5.0,8.0,8.0,5.0,0.489,0.568,0.207,206.999999999999,215.0,206.0,153.0,170.0,139.0,134.0,148.0,140.0,0.527662,0.1882,1.04740119,28.0,24.0,71.0,23.0,21.0,51.0,23.0,21.0,51.0,515.5,377.8,264.4,314.4,329.5,442.0,229.0,261.0,252.0,0.1273344,0.1193833,0.191877399999999,955.0,1570.0,504.0,50.9415,44.955908,121.76,252.0,263.0,246.0,112.0,116.0,133.0,10.0,10.0,2.0,54.0,20.0,88.0,54.0,48.0,91.0,24.89,25.52,25.23,1.63,1.36,2.05,2183.0,1814.0,903.78,3680.0,3109.0,1860.0,6.7462,6.5615,8.6084,4.0,4.0,5.0,0.042,4.1965
9,V2TiAl,135.0,140.0,125.0,8.35,10.6,10.0,6.0,4.506,2.7,87.0,100.0,57.8,460.0,422.6,284.1,5.0,4.0,13.0,3.02,2.95,4.05,4.0,4.0,3.0,8.0,8.0,7.0,0.489,0.523,0.897,206.999999999999,211.0,184.0,153.0,160.0,121.0,134.0,136.0,126.0,0.527662,0.075545,0.432835,28.0,26.0,14.0,23.0,22.0,13.0,23.0,22.0,13.0,515.5,473.0,330.9,314.4,317.5,449.9,229.0,239.0,236.0,0.1273344,0.123363699999999,0.150078,955.0,1200.0,520.0,50.9415,47.867,26.9815385,252.0,257.0,239.0,112.0,117.0,113.0,10.0,10.0,1.0,54.0,51.0,80.0,54.0,51.0,78.0,24.89,25.06,24.2,1.63,1.54,1.61,2183.0,1941.0,933.47,3680.0,3560.0,2792.0,6.7462,6.8281,5.9858,4.0,4.0,3.0,-0.024,0.7065
10,V2TiGa,135.0,140.0,130.0,8.35,10.6,11.8,6.0,4.506,5.91,87.0,100.0,50.0,460.0,422.6,270.3,5.0,4.0,13.0,3.02,2.95,4.51,4.0,4.0,4.0,8.0,8.0,7.0,0.489,0.523,0.373,206.999999999999,211.0,187.0,153.0,160.0,122.0,134.0,136.0,124.0,0.527662,0.075545,0.3012011,28.0,26.0,39.0,23.0,22.0,31.0,23.0,22.0,31.0,515.5,473.0,271.96,314.4,317.5,438.3,229.0,239.0,246.0,0.1273344,0.123363699999999,0.172377299999999,955.0,1200.0,456.0,50.9415,47.867,69.723,252.0,257.0,233.0,112.0,117.0,117.0,10.0,10.0,3.0,54.0,51.0,81.0,54.0,51.0,79.0,24.89,25.06,26.03,1.63,1.54,1.81,2183.0,1941.0,302.9146,3680.0,3560.0,2673.0,6.7462,6.8281,5.9993,4.0,4.0,4.0,-0.039,0.6168
11,V2TiIn,135.0,140.0,155.0,8.35,10.6,15.7,6.0,4.506,7.31,87.0,100.0,65.0,460.0,422.6,225.1,5.0,4.0,13.0,3.02,2.95,4.59,4.0,4.0,5.0,8.0,8.0,7.0,0.489,0.523,0.233,206.999999999999,211.0,193.0,153.0,160.0,142.0,134.0,136.0,142.0,0.527662,0.075545,0.383926,28.0,26.0,66.0,23.0,22.0,49.0,23.0,22.0,49.0,515.5,473.0,243.0,314.4,317.5,446.3,229.0,239.0,264.0,0.1273344,0.123363699999999,0.16423,955.0,1200.0,643.0,50.9415,47.867,114.818,252.0,257.0,246.0,112.0,117.0,136.0,10.0,10.0,4.0,54.0,51.0,79.0,54.0,51.0,80.0,24.89,25.06,26.74,1.63,1.54,1.78,2183.0,1941.0,429.75,3680.0,3560.0,2345.0,6.7462,6.8281,5.7864,4.0,4.0,5.0,0.205,0.6805
12,V2TiSi,135.0,140.0,110.0,8.35,10.6,12.1,6.0,4.506,2.3296,87.0,100.0,37.3,460.0,422.6,383.0,5.0,4.0,14.0,3.02,2.95,5.43,4.0,4.0,3.0,8.0,8.0,5.0,0.489,0.523,0.712,206.999999999999,211.0,210.0,153.0,160.0,111.0,134.0,136.0,115.999999999999,0.527662,0.075545,1.38952128,28.0,26.0,14.0,23.0,22.0,14.0,23.0,22.0,14.0,515.5,473.0,450.0,314.4,317.5,429.5,229.0,239.0,229.0,0.1273344,0.123363699999999,0.178503,955.0,1200.0,308.0,50.9415,47.867,28.085,252.0,257.0,231.999999999999,112.0,117.0,107.0,10.0,10.0,0.7,54.0,51.0,85.0,54.0,51.0,85.0,24.89,25.06,19.99,1.63,1.54,1.9,2183.0,1941.0,1687.0,3680.0,3560.0,3538.0,6.7462,6.8281,8.1517,4.0,4.0,3.0,-0.253,0.0001
13,V2TiGe,135.0,140.0,125.0,8.35,10.6,13.6,6.0,4.506,5.3234,87.0,100.0,40.0,460.0,422.6,328.0,5.0,4.0,14.0,3.02,2.95,5.66,4.0,4.0,4.0,8.0,8.0,5.0,0.489,0.523,0.32,206.999999999999,211.0,211.0,153.0,160.0,120.0,134.0,136.0,121.0,0.527662,0.075545,1.232676413,28.0,26.0,41.0,23.0,22.0,32.0,23.0,22.0,32.0,515.5,473.0,372.0,314.4,317.5,428.0,229.0,239.0,244.0,0.1273344,0.123363699999999,0.1895892,955.0,1200.0,365.0,50.9415,47.867,72.63,252.0,257.0,234.0,112.0,117.0,111.0,10.0,10.0,1.0,54.0,51.0,84.0,54.0,51.0,84.0,24.89,25.06,23.222,1.63,1.54,2.01,2183.0,1941.0,1211.4,3680.0,3560.0,3106.0,6.7462,6.8281,7.8994,4.0,4.0,4.0,-0.219,0.0002
14,V2TiSn,135.0,140.0,145.0,8.35,10.6,16.3,6.0,4.506,7.287,87.0,100.0,53.0,460.0,422.6,296.0,5.0,4.0,14.0,3.02,2.95,5.82,4.0,4.0,5.0,8.0,8.0,7.0,0.489,0.523,0.227,206.999999999999,211.0,217.0,153.0,160.0,139.0,134.0,136.0,140.0,0.527662,0.075545,1.1120702,28.0,26.0,69.0,23.0,22.0,50.0,23.0,22.0,50.0,515.5,473.0,301.2,314.4,317.5,439.199999999999,229.0,239.0,259.0,0.1273344,0.123363699999999,0.178052,955.0,1200.0,715.0,50.9415,47.867,118.71,252.0,257.0,248.0,112.0,117.0,130.0,10.0,10.0,6.0,54.0,51.0,83.0,54.0,51.0,83.0,24.89,25.06,26.99,1.63,1.54,1.96,2183.0,1941.0,505.08,3680.0,3560.0,2875.0,6.7462,6.8281,7.3439,4.0,4.0,5.0,-0.014,0.0002
15,V2TiP,135.0,140.0,100.0,8.35,10.6,17.0,6.0,4.506,1.823,87.0,100.0,25.0,460.0,422.6,49.8,5.0,4.0,15.0,3.02,2.95,7.17,4.0,4.0,3.0,8.0,8.0,1.0,0.489,0.523,0.769,206.999999999999,211.0,180.0,153.0,160.0,107.0,134.0,136.0,111.0,0.527662,0.075545,0.7466071,28.0,26.0,16.0,23.0,22.0,15.0,23.0,22.0,15.0,515.5,473.0,316.5,314.4,317.5,414.7,229.0,239.0,222.0,0.1273344,0.123363699999999,0.206931,955.0,1200.0,187.0,50.9415,47.867,30.973761998,252.0,257.0,223.0,112.0,117.0,102.0,10.0,10.0,1.0,54.0,51.0,90.0,54.0,51.0,89.0,24.89,25.06,23.824,1.63,1.54,2.19,2183.0,1941.0,317.3,3680.0,3560.0,550.0,6.7462,6.8281,10.4867,4.0,4.0,3.0,-0.492,0.0
16,V2TiAs,135.0,140.0,115.0,8.35,10.6,13.1,6.0,4.506,5.75,87.0,100.0,30.0,460.0,422.6,32.4,5.0,4.0,15.0,3.02,2.95,4.13,4.0,4.0,4.0,8.0,8.0,5.0,0.489,0.523,0.329,206.999999999999,211.0,185.0,153.0,160.0,119.0,134.0,136.0,121.0,0.527662,0.075545,0.80482,28.0,26.0,42.0,23.0,22.0,33.0,23.0,22.0,33.0,515.5,473.0,302.5,314.4,317.5,423.0,229.0,239.0,236.0,0.1273344,0.123363699999999,0.2068208,955.0,1200.0,260.0,50.9415,47.867,74.921595,252.0,257.0,231.0,112.0,117.0,114.0,10.0,10.0,1.0,54.0,51.0,89.0,54.0,51.0,90.0,24.89,25.06,24.64,1.63,1.54,2.18,2183.0,1941.0,1090.0,3680.0,3560.0,887.0,6.7462,6.8281,9.7886,4.0,4.0,4.0,-0.281,0.0
17,V2TiSb,135.0,140.0,145.0,8.35,10.6,18.4,6.0,4.506,6.68,87.0,100.0,43.0,460.0,422.6,195.2,5.0,4.0,15.0,3.02,2.95,4.51,4.0,4.0,5.0,8.0,8.0,5.0,0.489,0.523,0.207,206.999999999999,211.0,206.0,153.0,160.0,139.0,134.0,136.0,140.0,0.527662,0.075545,1.04740119,28.0,26.0,71.0,23.0,22.0,51.0,23.0,22.0,51.0,515.5,473.0,264.4,314.4,317.5,442.0,229.0,239.0,252.0,0.1273344,0.123363699999999,0.191877399999999,955.0,1200.0,504.0,50.9415,47.867,121.76,252.0,257.0,246.0,112.0,117.0,133.0,10.0,10.0,2.0,54.0,51.0,88.0,54.0,51.0,91.0,24.89,25.06,25.23,1.63,1.54,2.05,2183.0,1941.0,903.78,3680.0,3560.0,1860.0,6.7462,6.8281,8.6084,4.0,4.0,5.0,-0.05,1.7344
18,V2VAl,135.0,135.0,125.0,8.35,8.35,10.0,6.0,6.0,2.7,87.0,87.0,57.8,460.0,460.0,284.1,5.0,5.0,13.0,3.02,3.02,4.05,4.0,4.0,3.0,8.0,8.0,7.0,0.489,0.489,0.897,206.999999999999,206.999999999999,184.0,153.0,153.0,121.0,134.0,134.0,126.0,0.527662,0.527662,0.432835,28.0,28.0,14.0,23.0,23.0,13.0,23.0,23.0,13.0,515.5,515.5,330.9,314.4,314.4,449.9,229.0,229.0,236.0,0.1273344,0.1273344,0.150078,955.0,955.0,520.0,50.9415,50.9415,26.9815385,252.0,252.0,239.0,112.0,112.0,113.0,10.0,10.0,1.0,54.0,54.0,80.0,54.0,54.0,78.0,24.89,24.89,24.2,1.63,1.63,1.61,2183.0,2183.0,933.47,3680.0,3680.0,2792.0,6.7462,6.7462,5.9858,4.0,4.0,3.0,-0.087,0.0
19,V2VGa,135.0,135.0,130.0,8.35,8.35,11.8,6.0,6.0,5.91,87.0,87.0,50.0,460.0,460.0,270.3,5.0,5.0,13.0,3.02,3.02,4.51,4.0,4.0,4.0,8.0,8.0,7.0,0.489,0.489,0.373,206.999999999999,206.999999999999,187.0,153.0,153.0,122.0,134.0,134.0,124.0,0.527662,0.527662,0.3012011,28.0,28.0,39.0,23.0,23.0,31.0,23.0,23.0,31.0,515.5,515.5,271.96,314.4,314.4,438.3,229.0,229.0,246.0,0.1273344,0.1273344,0.172377299999999,955.0,955.0,456.0,50.9415,50.9415,69.723,252.0,252.0,233.0,112.0,112.0,117.0,10.0,10.0,3.0,54.0,54.0,81.0,54.0,54.0,79.0,24.89,24.89,26.03,1.63,1.63,1.81,2183.0,2183.0,302.9146,3680.0,3680.0,2673.0,6.7462,6.7462,5.9993,4.0,4.0,4.0,-0.097,0.0
20,V2VIn,135.0,135.0,155.0,8.35,8.35,15.7,6.0,6.0,7.31,87.0,87.0,65.0,460.0,460.0,225.1,5.0,5.0,13.0,3.02,3.02,4.59,4.0,4.0,5.0,8.0,8.0,7.0,0.489,0.489,0.233,206.999999999999,206.999999999999,193.0,153.0,153.0,142.0,134.0,134.0,142.0,0.527662,0.527662,0.383926,28.0,28.0,66.0,23.0,23.0,49.0,23.0,23.0,49.0,515.5,515.5,243.0,314.4,314.4,446.3,229.0,229.0,264.0,0.1273344,0.1273344,0.16423,955.0,955.0,643.0,50.9415,50.9415,114.818,252.0,252.0,246.0,112.0,112.0,136.0,10.0,10.0,4.0,54.0,54.0,79.0,54.0,54.0,80.0,24.89,24.89,26.74,1.63,1.63,1.78,2183.0,2183.0,429.75,3680.0,3680.0,2345.0,6.7462,6.7462,5.7864,4.0,4.0,5.0,0.218,0.0
21,V2VSi,135.0,135.0,110.0,8.35,8.35,12.1,6.0,6.0,2.3296,87.0,87.0,37.3,460.0,460.0,383.0,5.0,5.0,14.0,3.02,3.02,5.43,4.0,4.0,3.0,8.0,8.0,5.0,0.489,0.489,0.712,206.999999999999,206.999999999999,210.0,153.0,153.0,111.0,134.0,134.0,115.999999999999,0.527662,0.527662,1.38952128,28.0,28.0,14.0,23.0,23.0,14.0,23.0,23.0,14.0,515.5,515.5,450.0,314.4,314.4,429.5,229.0,229.0,229.0,0.1273344,0.1273344,0.178503,955.0,955.0,308.0,50.9415,50.9415,28.085,252.0,252.0,231.999999999999,112.0,112.0,107.0,10.0,10.0,0.7,54.0,54.0,85.0,54.0,54.0,85.0,24.89,24.89,19.99,1.63,1.63,1.9,2183.0,2183.0,1687.0,3680.0,3680.0,3538.0,6.7462,6.7462,8.1517,4.0,4.0,3.0,-0.307,0.0
22,V2VGe,135.0,135.0,125.0,8.35,8.35,13.6,6.0,6.0,5.3234,87.0,87.0,40.0,460.0,460.0,328.0,5.0,5.0,14.0,3.02,3.02,5.66,4.0,4.0,4.0,8.0,8.0,5.0,0.489,0.489,0.32,206.999999999999,206.999999999999,211.0,153.0,153.0,120.0,134.0,134.0,121.0,0.527662,0.527662,1.232676413,28.0,28.0,41.0,23.0,23.0,32.0,23.0,23.0,32.0,515.5,515.5,372.0,314.4,314.4,428.0,229.0,229.0,244.0,0.1273344,0.1273344,0.1895892,955.0,955.0,365.0,50.9415,50.9415,72.63,252.0,252.0,234.0,112.0,112.0,111.0,10.0,10.0,1.0,54.0,54.0,84.0,54.0,54.0,84.0,24.89,24.89,23.222,1.63,1.63,2.01,2183.0,2183.0,1211.4,3680.0,3680.0,3106.0,6.7462,6.7462,7.8994,4.0,4.0,4.0,-0.177,0.0001
23,V2VSn,135.0,135.0,145.0,8.35,8.35,16.3,6.0,6.0,7.287,87.0,87.0,53.0,460.0,460.0,296.0,5.0,5.0,14.0,3.02,3.02,5.82,4.0,4.0,5.0,8.0,8.0,7.0,0.489,0.489,0.227,206.999999999999,206.999999999999,217.0,153.0,153.0,139.0,134.0,134.0,140.0,0.527662,0.527662,1.1120702,28.0,28.0,69.0,23.0,23.0,50.0,23.0,23.0,50.0,515.5,515.5,301.2,314.4,314.4,439.199999999999,229.0,229.0,259.0,0.1273344,0.1273344,0.178052,955.0,955.0,715.0,50.9415,50.9415,118.71,252.0,252.0,248.0,112.0,112.0,130.0,10.0,10.0,6.0,54.0,54.0,83.0,54.0,54.0,83.0,24.89,24.89,26.99,1.63,1.63,1.96,2183.0,2183.0,505.08,3680.0,3680.0,2875.0,6.7462,6.7462,7.3439,4.0,4.0,5.0,0.032,0.0002
24,V2VP,135.0,135.0,100.0,8.35,8.35,17.0,6.0,6.0,1.823,87.0,87.0,25.0,460.0,460.0,49.8,5.0,5.0,15.0,3.02,3.02,7.17,4.0,4.0,3.0,8.0,8.0,1.0,0.489,0.489,0.769,206.999999999999,206.999999999999,180.0,153.0,153.0,107.0,134.0,134.0,111.0,0.527662,0.527662,0.7466071,28.0,28.0,16.0,23.0,23.0,15.0,23.0,23.0,15.0,515.5,515.5,316.5,314.4,314.4,414.7,229.0,229.0,222.0,0.1273344,0.1273344,0.206931,955.0,955.0,187.0,50.9415,50.9415,30.973761998,252.0,252.0,223.0,112.0,112.0,102.0,10.0,10.0,1.0,54.0,54.0,90.0,54.0,54.0,89.0,24.89,24.89,23.824,1.63,1.63,2.19,2183.0,2183.0,317.3,3680.0,3680.0,550.0,6.7462,6.7462,10.4867,4.0,4.0,3.0,-0.421,0.0
25,V2VAs,135.0,135.0,115.0,8.35,8.35,13.1,6.0,6.0,5.75,87.0,87.0,30.0,460.0,460.0,32.4,5.0,5.0,15.0,3.02,3.02,4.13,4.0,4.0,4.0,8.0,8.0,5.0,0.489,0.489,0.329,206.999999999999,206.999999999999,185.0,153.0,153.0,119.0,134.0,134.0,121.0,0.527662,0.527662,0.80482,28.0,28.0,42.0,23.0,23.0,33.0,23.0,23.0,33.0,515.5,515.5,302.5,314.4,314.4,423.0,229.0,229.0,236.0,0.1273344,0.1273344,0.2068208,955.0,955.0,260.0,50.9415,50.9415,74.921595,252.0,252.0,231.0,112.0,112.0,114.0,10.0,10.0,1.0,54.0,54.0,89.0,54.0,54.0,90.0,24.89,24.89,24.64,1.63,1.63,2.18,2183.0,2183.0,1090.0,3680.0,3680.0,887.0,6.7462,6.7462,9.7886,4.0,4.0,4.0,-0.222,0.0
26,V2VSb,135.0,135.0,145.0,8.35,8.35,18.4,6.0,6.0,6.68,87.0,87.0,43.0,460.0,460.0,195.2,5.0,5.0,15.0,3.02,3.02,4.51,4.0,4.0,5.0,8.0,8.0,5.0,0.489,0.489,0.207,206.999999999999,206.999999999999,206.0,153.0,153.0,139.0,134.0,134.0,140.0,0.527662,0.527662,1.04740119,28.0,28.0,71.0,23.0,23.0,51.0,23.0,23.0,51.0,515.5,515.5,264.4,314.4,314.4,442.0,229.0,229.0,252.0,0.1273344,0.1273344,0.191877399999999,955.0,955.0,504.0,50.9415,50.9415,121.76,252.0,252.0,246.0,112.0,112.0,133.0,10.0,10.0,2.0,54.0,54.0,88.0,54.0,54.0,91.0,24.89,24.89,25.23,1.63,1.63,2.05,2183.0,2183.0,903.78,3680.0,3680.0,1860.0,6.7462,6.7462,8.6084,4.0,4.0,5.0,0.002,2.013
27,V2CrAl,135.0,140.0,125.0,8.35,7.23,10.0,6.0,7.15,2.7,87.0,83.0,57.8,460.0,342.0,284.1,5.0,6.0,13.0,3.02,2.88,4.05,4.0,4.0,3.0,8.0,8.0,7.0,0.489,0.449,0.897,206.999999999999,206.0,184.0,153.0,139.0,121.0,134.0,122.0,126.0,0.527662,0.6758412,0.432835,28.0,28.0,14.0,23.0,24.0,13.0,23.0,24.0,13.0,515.5,397.48,330.9,314.4,302.3,449.9,229.0,225.0,236.0,0.1273344,0.131305299999999,0.150078,955.0,709.0,520.0,50.9415,51.9961,26.9815385,252.0,233.0,239.0,112.0,111.0,113.0,10.0,12.0,1.0,54.0,57.0,80.0,54.0,55.0,78.0,24.89,23.35,24.2,1.63,1.66,1.61,2183.0,2180.0,933.47,3680.0,2944.0,2792.0,6.7462,6.7665,5.9858,4.0,4.0,3.0,-0.052,0.9835
